x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770167.6300000001,6270682.379999999,4,,5.83,6.26,6.075,0.18119970566569166,0.4299999999999997,103.35917312661506,nan,nan
770167.93,6270682.379999999,4,,5.78,6.11,5.91,0.14118545723031586,0.33000000000000007,134.68013468013467,nan,nan
770168.2300000001,6270682.379999999,4,,5.83,5.91,5.8575,0.03593976442141314,0.08000000000000007,555.5555555555551,nan,nan
770168.53,6270682.379999999,4,,5.56,6.07,5.8475,0.21715969546242606,0.5100000000000007,87.14596949891056,nan,nan
770168.8300000001,6270682.379999999,4,,5.39,5.97,5.734999999999999,0.25839246635044655,0.5800000000000001,76.62835249042145,nan,nan
770167.03,6270682.68,3,,5.49,5.85,5.6933333333333325,0.1844812546936226,0.35999999999999943,92.59259259259274,nan,nan
770167.3300000001,6270682.68,3,,5.84,5.96,5.886666666666667,0.06429100507328617,0.1200000000000001,277.77777777777754,nan,nan
770167.6300000001,6270682.68,6,,5.8,6.09,5.915,0.09607288899580355,0.29000000000000004,229.88505747126436,nan,nan
770167.93,6270682.68,4,,5.58,6.08,5.795,0.22353224972398653,0.5,88.88888888888889,nan,nan
770168.2300000001,6270682.68,2,,5.51,5.91,5.71,0.2828427124746193,0.40000000000000036,55.55555555555551,nan,nan
770168.53,6270682.68,1,,5.6,5.6,5.6,0.0,0.0,11.11111111111111,nan,nan
770171.53,6270682.68,1,,6.13,6.13,6.13,0.0,0.0,11.11111111111111,nan,nan
770172.1300000001,6270682.68,1,,5.93,5.93,5.93,0.0,0.0,11.11111111111111,nan,nan
770172.43,6270682.68,2,,6.23,6.34,6.285,0.07778174593051983,0.10999999999999943,202.02020202020307,nan,nan
770166.43,6270682.98,2,,5.83,5.86,5.845000000000001,0.021213203435596916,0.03000000000000025,740.7407407407346,nan,nan
770166.7300000001,6270682.98,1,,5.75,5.75,5.75,0.0,0.0,11.11111111111111,nan,nan
770167.03,6270682.98,6,,5.74,5.81,5.776666666666666,0.028047578623950253,0.0699999999999994,952.3809523809606,nan,nan
770167.3300000001,6270682.98,6,,5.58,5.93,5.794999999999999,0.11844830095868826,0.34999999999999964,190.47619047619068,nan,nan
770167.6300000001,6270682.98,2,,5.87,6.13,6.0,0.1838477631085022,0.2599999999999998,85.47008547008555,nan,nan
770171.2300000001,6270682.98,1,,6.03,6.03,6.03,0.0,0.0,11.11111111111111,nan,nan
770171.53,6270682.98,3,,5.89,6.24,6.096666666666667,0.18339392937971896,0.35000000000000053,95.23809523809508,nan,nan
770171.8300000001,6270682.98,7,,5.91,6.08,5.992857142857143,0.06750661343263234,0.16999999999999993,457.5163398692813,nan,nan
770172.1300000001,6270682.98,4,,5.95,6.0,5.975,0.0288675134594811,0.04999999999999982,888.888888888892,nan,nan
770165.8300000001,6270683.279999999,2,,5.75,5.79,5.77,0.02828427124746224,0.040000000000000036,555.5555555555551,nan,nan
770166.1300000001,6270683.279999999,3,,5.46,5.8,5.669999999999999,0.18357559750685815,0.33999999999999986,98.03921568627456,nan,nan
770166.43,6270683.279999999,2,,5.71,5.72,5.715,0.007071067811865324,0.009999999999999787,2222.2222222222695,nan,nan
770166.7300000001,6270683.279999999,5,,5.63,5.79,5.724,0.06465291950097853,0.16000000000000014,347.22222222222194,nan,nan
770167.03,6270683.279999999,2,,5.71,5.87,5.79,0.1131370849898477,0.16000000000000014,138.88888888888877,nan,nan
770171.2300000001,6270683.279999999,3,,5.78,5.94,5.846666666666667,0.08326663997864535,0.16000000000000014,208.33333333333317,nan,nan
770171.53,6270683.279999999,5,,5.92,6.03,5.958,0.04969909455915727,0.11000000000000032,505.0505050505036,nan,nan
770171.8300000001,6270683.279999999,2,,5.81,5.83,5.82,0.01414213562373159,0.020000000000000462,1111.1111111110854,nan,nan
770172.1300000001,6270683.279999999,1,,5.84,5.84,5.84,0.0,0.0,11.11111111111111,nan,nan
770165.2300000001,6270683.58,1,,5.68,5.68,5.68,0.0,0.0,11.11111111111111,nan,nan
770165.53,6270683.58,1,,5.79,5.79,5.79,0.0,0.0,11.11111111111111,nan,nan
770165.8300000001,6270683.58,4,,5.46,5.84,5.6675,0.18246004128758292,0.3799999999999999,116.95906432748542,nan,nan
770166.1300000001,6270683.58,5,,5.57,5.83,5.715999999999999,0.09939818911831332,0.2599999999999998,213.67521367521385,nan,nan
770166.43,6270683.58,4,,5.67,5.97,5.765,0.14177446878757774,0.2999999999999998,148.14814814814824,nan,nan
770166.7300000001,6270683.58,2,,5.78,6.01,5.895,0.1626345596729053,0.22999999999999954,96.6183574879229,nan,nan
770170.3300000001,6270683.58,2,,5.93,6.01,5.97,0.05656854249492385,0.08000000000000007,277.77777777777754,nan,nan
770170.93,6270683.58,4,,5.86,5.95,5.905,0.04654746681256303,0.08999999999999986,493.82716049382793,nan,nan
770171.2300000001,6270683.58,4,,5.78,5.9,5.845,0.059160797830996106,0.1200000000000001,370.37037037037004,nan,nan
770171.53,6270683.58,4,,5.57,6.0,5.8100000000000005,0.1801850900231947,0.4299999999999997,103.35917312661506,nan,nan
770164.93,6270683.879999999,2,,5.67,5.82,5.745,0.10606601717798238,0.15000000000000036,148.1481481481478,nan,nan
770165.2300000001,6270683.879999999,2,,5.65,5.89,5.77,0.16970562748477125,0.23999999999999932,92.59259259259285,nan,nan
770165.53,6270683.879999999,5,,5.73,5.77,5.748,0.014832396974190887,0.03999999999999915,1388.8888888889185,nan,nan
770165.8300000001,6270683.879999999,7,,5.66,5.84,5.771428571428571,0.05756983337031397,0.17999999999999972,432.0987654320994,nan,nan
